id,navi,en,target_verb,role,navi_expressed,en_expressed
80,Fpìl po san oe tìyerkùp sìk.,"He thought, “I’m about to die.” ",fpìl,patient,1,1
81,Tsakrr Koohùril tia tsolea eo sno dampaysyeti.,Then Ko’ohuri surprisingly saw a gill mantle before him.,tsolea,agent,1,1
82,Tsakrr Koohùril tia tsolea eo sno dampaysyeti.,Then Ko’ohuri surprisingly saw a gill mantle before him.,tsolea,patient,1,1
83,"Nìfkeytongay, ke tsùn tsivea smusona kawtsengti a sìn tawdew. ","In actual fact, he could see nowhere on the horizon that he recognized.",tsivea,agent,0,1
84,"Nìfkeytongay, ke tsùn tsivea smusona kawtsengti a sìn tawdew. ","In actual fact, he could see nowhere on the horizon that he recognized.",tsivea,patient,1,1
85,"Ko’ohuri lu kanu ngian, ulte omum fya’ot a väpewng fte emrivey. "," Ko’ohuri was clever, however, and knew how to look after himself to survive.",lu,agent,1,1
86,"Ko’ohuri lu kanu ngian, ulte omum fya’ot a väpewng fte emrivey. "," Ko’ohuri was clever, however, and knew how to look after himself to survive.",omum,agent,0,1
87,"Ko’ohuri lu kanu ngian, ulte omum fya’ot a väpewng fte emrivey. "," Ko’ohuri was clever, however, and knew how to look after himself to survive.",omum,patient,1,1
88,"Lu mì sponoä kxamtseng tsawla ramtsyìp letskxe, ulte fìtseng Ko’ohuril apxa txeptsengit txula fte tì’awm sivi.","In the middle of the island was a tall rocky hill, and it was here that Ko’ohuri built a large fire pit to set up camp.",lu,agent,1,1
89,"Lu mì sponoä kxamtseng tsawla ramtsyìp letskxe, ulte fìtseng Ko’ohuril apxa txeptsengit txula fte tì’awm sivi.","In the middle of the island was a tall rocky hill, and it was here that Ko’ohuri built a large fire pit to set up camp.",txula,agent,1,1
90,"Lu mì sponoä kxamtseng tsawla ramtsyìp letskxe, ulte fìtseng Ko’ohuril apxa txeptsengit txula fte tì’awm sivi.","In the middle of the island was a tall rocky hill, and it was here that Ko’ohuri built a large fire pit to set up camp.",txula,patient,1,1
91,"Pol hänit ngop ta tanleng afkawnarut fte fayoangit stivä’nì, ulte fasukit a mì ayutraltsyìp tsawn. ","Pol hänit ngop ta tanleng afkawnarut fte fayoangit stivä’nì, ulte fasukit a mì ayutraltsyìp tsawn. ",ngop,agent,1,1
92,"Pol hänit ngop ta tanleng afkawnarut fte fayoangit stivä’nì, ulte fasukit a mì ayutraltsyìp tsawn. ","He made a net out of peeled bark to catch fish, and gathered berries that were on bushes.",ngop,patient,1,1
93,"Pol hänit ngop ta tanleng afkawnarut fte fayoangit stivä’nì, ulte fasukit a mì ayutraltsyìp tsawn. ","He made a net out of peeled bark to catch fish, and gathered berries that were on bushes.",tsawn,agent,0,1
94,"Pol hänit ngop ta tanleng afkawnarut fte fayoangit stivä’nì, ulte fasukit a mì ayutraltsyìp tsawn. ","He made a net out of peeled bark to catch fish, and gathered berries that were on bushes.",tsawn,patient,1,1
95,Slawnoana tompati pol näk ta ayrìk.,He drank rain poured from leaves.,näk,agent,0,1
96,Slawnoana tompati pol näk ta ayrìk.,He drank rain poured from leaves.,näk,patient,1,1
97,Muvea niktsyey lu ftxìlor.,The second wrap was delicious.,lu,agent,1,1
98,Oe yäpolur.,I washed myself,yäpolur,agent,1,1
99,Oe yäpolur.,I washed myself,yäpolur,patient,1,1
100,Fkol oeti srätx.,I'm annoyed,srätx,agent,1,0
101,Fkol oeti srätx.,I'm annoyed,srätx,patient,1,1
